id;name;type;fuel;fuel_cost;start_cost_hot;start_cost_warm;start_cost_cold;fuel_cons_el;fuel_cons_th;el_th_ratio;efficiency;cop;power_min;power_max;heat_min;heat_max;t_up;t_down;T_warm;T_cold;ramp_up;ramp_down;t_up_0;t_down_0;u_g_0
1;BP1;BP;wood_chips;20;1000;5000;10000;;;0.6;0.9;;40;140;100;340;3;2;3;12;10;30;0;100;0
2;BP2;BP;coal;50;1000;5000;10000;;;0.6;0.88;;80;150;160;250;3;2;3;8;10;30;0;100;0
3;EC1;EC;oil;60;2000;10000;20000;3.5;0.3;0.6;0.87;;60;250;0;350;1;1;3;10;20;30;0;100;0
4;GT1;GT;oil;60;500;500;1000;;;0.6;0.85;;0;55;0;0;1;0;1;1;55;55;0;100;0
5;HB1;HB;oil;60;;;;;;;0.88;;;;35;125;0;0;;;;;0;100;0
6;HB2;HB;bio_diesel;55;;;;;;;0.87;;;;30;150;0;0;;;;;0;100;0
7;HB3;HB;oil;60;;;;;;;0.87;;;;35;330;0;0;;;;;0;100;0
8;EB1-5;EB;electricity;0;;;;;;;0.98;;;;0;200;0;0;;;;;0;100;0
13;HP1-20;HP;electricity;0;;;;;;;;3;;;0;315;0;0;;;;;0;100;0
33;HB4;HB;bio_diesel;55;;;;;;;0.87;;;;0;500;0;0;;;;;0;100;0
